date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-11-13,56,82,55,1399150,54
2025-11-14,55,88,59,1405634,55
2025-11-15,50,108,55,1863320,50
2025-11-16,43,72,45,1826480,43
2025-11-17,55,74,53,1873340,53
2025-11-18,41,52,42,1151780,40
2025-11-19,52,81,54,1870520,52
2025-11-20,50,72,50,1073730,50
2025-11-21,61,97,59,1754316,59
2025-11-22,67,124,71,2785092,66
2025-11-23,55,109,61,2461446,55
2025-11-24,40,60,41,1172820,39
2025-11-25,42,58,46,818210,42
2025-11-26,38,43,38,367170,38
2025-11-27,56,69,55,1294860,55
2025-11-28,48,74,49,1504790,48
2025-11-29,47,98,49,2057016,46
2025-11-30,27,50,29,1104380,27
2025-12-01,26,42,26,639000,26
2025-12-02,26,43,27,591980,26
2025-12-03,21,26,21,522560,21
2025-12-04,22,35,23,582800,22
2025-12-05,30,58,33,1428700,30
2025-12-06,28,61,30,1908776,28
2025-12-07,17,34,20,618730,17
2025-12-08,22,32,22,477290,22
2025-12-09,20,34,21,668790,20
2025-12-10,13,26,15,325050,13
2025-12-11,17,22,17,698500,17
2025-12-12,22,37,22,925330,21
2025-12-13,38,58,41,1197850,38
2025-12-14,18,30,19,740350,18
2025-12-15,17,28,17,548130,17
2025-12-16,26,38,26,660180,26
2025-12-17,15,15,15,73810,15
2025-12-18,29,38,29,602670,29
2025-12-19,11,24,12,635610,11
2025-12-20,19,37,19,1110510,19
2025-12-21,13,23,13,467550,13
2025-12-22,19,29,20,548850,19
2025-12-23,23,41,23,895360,23
2025-12-24,16,18,16,348540,16
2025-12-25,17,24,16,485480,16
2025-12-26,20,43,23,1144011,20
2025-12-27,21,52,22,1204550,21
2025-12-28,16,38,19,1024450,16
2025-12-29,15,34,15,1831484,15
2025-12-30,10,24,10,880390,10
2025-12-31,23,55,23,1843624,23
2026-01-01,12,26,12,1019110,12
2026-01-02,12,22,12,876460,12
2026-01-03,6,13,6,697450,6
2026-01-04,2,3,2,137400,2
2026-01-05,3,5,3,332260,3
2026-01-06,0,0,0,0,0
2026-01-07,12,13,12,759700,12
2026-01-08,7,10,7,408200,7
2026-01-09,12,22,12,465850,12
2026-01-10,10,29,13,655400,9
2026-01-11,10,38,12,763812,10
2026-01-12,4,13,5,197350,4
2026-01-13,5,5,5,36300,5
2026-01-14,12,17,12,171710,12
2026-01-15,8,11,8,85250,8
2026-01-16,8,14,9,109780,8
2026-01-17,15,27,15,576320,15
2026-01-18,11,17,12,171600,11
2026-01-19,4,8,4,187900,4
2026-01-20,3,12,5,227700,3
2026-01-21,1,2,1,73000,1
2026-01-22,2,3,2,197400,2
2026-01-23,9,16,9,180400,9
2026-01-24,11,27,12,322740,10
2026-01-25,5,14,7,214500,5
2026-01-26,2,4,2,50930,2
2026-01-27,2,3,2,77430,2
2026-01-28,9,10,9,416600,9
2026-01-29,1,1,1,7260,1
2026-01-30,5,10,5,254000,5
2026-01-31,5,17,8,73260,5
2026-02-01,2,3,2,6600,2
2026-02-02,0,0,0,0,0
2026-02-03,0,0,0,0,0
2026-02-04,1,2,1,28600,1
2026-02-05,0,0,0,0,0
2026-02-06,2,5,2,127050,2
2026-02-07,8,24,9,620200,8
2026-02-08,3,6,3,89100,3
2026-02-09,1,2,1,126000,1
2026-02-10,2,4,2,68200,2
2026-02-11,3,6,3,385300,3
